date,account_value
2022-08-15,979179.4305193756
2022-08-16,986096.7243630405
2022-08-17,981139.3492397631
2022-08-18,981679.8297892306
2022-08-19,973240.0094561538
2022-08-22,954670.4647681573
2022-08-23,950223.3429849866
2022-08-24,951945.3916137991
2022-08-25,961258.6429516915
2022-08-26,932142.9038693535
2022-08-29,926818.2907099605
2022-08-30,917921.6785936317
2022-08-31,909824.3393098993
2022-09-01,914039.6251645578
2022-09-02,904280.8608528766
2022-09-06,899281.6977405386
2022-09-07,911870.033376253
2022-09-08,917449.6040235574
2022-09-09,928340.5352291358
2022-09-12,934970.783371967
2022-09-13,898117.21705753
2022-09-14,898986.8696611755
2022-09-15,893983.9281476676
2022-09-16,889958.9158086501
2022-09-19,895654.5454053289
2022-09-20,886604.0903279247
2022-09-21,871518.9646413835
2022-09-22,868426.5970568623
2022-09-23,854386.1710968327
2022-09-26,844869.3936421801
2022-09-27,841236.4891141442
2022-09-28,857080.9606477827
2022-09-29,843853.003727421
2022-09-30,829413.2515183534
2022-10-03,851512.6688099413
2022-10-04,875345.9210862305
2022-10-05,874120.1964678378
2022-10-06,864103.0346313588
2022-10-07,845908.2283877709
2022-10-10,843196.7461988156
2022-10-11,844245.1115384025
2022-10-12,843426.8339118611
2022-10-13,867330.5787472943
2022-10-14,855668.740914919
2022-10-17,871577.8964208277
2022-10-18,881336.6607325091
2022-10-19,878449.5674802148
2022-10-20,875844.5572525902
2022-10-21,897470.151758637
2022-10-24,909512.1982580104
2022-10-25,919246.1491888731
2022-10-26,919314.5551682663
2022-10-27,924920.9693820927
2022-10-28,948843.4934352818
2022-10-31,945123.0653458128
2022-11-01,942820.3836058445
2022-11-02,928226.4500714175
2022-11-03,923996.1634001731
2022-11-04,935602.5658840375
2022-11-07,947838.6643002221
2022-11-08,957477.5348673116
2022-11-09,938799.4316382336
2022-11-10,973489.2711452864
2022-11-11,974427.329728325
2022-11-14,968330.343696905
2022-11-15,969953.7027429163
2022-11-16,968824.919491858
2022-11-17,968608.1407739789
2022-11-18,974364.7323358053
2022-11-21,973053.5707357302
2022-11-22,984540.1358690503
2022-11-23,987310.7754136391
2022-11-25,991727.669987449
2022-11-28,977360.9480696543
2022-11-29,977449.5995120336
2022-11-30,998736.4349758589
2022-12-01,993113.0461537906
2022-12-02,994119.792686459
2022-12-05,980180.1992830287
2022-12-06,970052.3923257176
2022-12-07,970098.0715040428
2022-12-08,975398.0968588064
2022-12-09,966591.038489614
2022-12-12,981853.0723025824
2022-12-13,984844.4381483623
2022-12-14,980736.0190133658
2022-12-15,958672.6375180122
2022-12-16,950537.2322523422
2022-12-19,945833.0664015093
2022-12-20,948495.2037990639
2022-12-21,963704.2272075563
2022-12-22,953627.5132571126
2022-12-23,958722.0387034602
2022-12-27,959808.5264190321
2022-12-28,949245.1318402597
2022-12-29,959209.1704841678
2022-12-30,957085.4834503772
2023-01-03,956771.3686068325
2023-01-04,960623.0820384509
2023-01-05,950814.9165413214
2023-01-06,971041.8822799076
2023-01-09,967780.276159394
2023-01-10,973163.8774922785
2023-01-11,980928.3227147101
2023-01-12,987192.6862785614
2023-01-13,990445.0437753153
2023-01-17,979133.5257648613
2023-01-18,961408.199965171
2023-01-19,954120.3972306462
2023-01-20,963675.5790315203
2023-01-23,971011.5422824521
2023-01-24,974026.0296876311
2023-01-25,974311.2707789507
2023-01-26,980246.857046955
2023-01-27,981074.6088734454
2023-01-30,973538.8979069236
2023-01-31,984191.8462328325
2023-02-01,984391.7067365171
2023-02-02,983265.0664592569
2023-02-03,979571.2563601206
2023-02-06,978560.9006084241
2023-02-07,986231.8445004073
2023-02-08,980235.3526613028
2023-02-09,973041.9535619834
2023-02-10,977932.8964975235
2023-02-13,988808.4885222324
2023-02-14,984285.1219870916
2023-02-15,985404.8821905794
2023-02-16,972954.542788645
2023-02-17,976703.5062660554
2023-02-21,956575.5684745546
2023-02-22,954135.736411516
2023-02-23,957277.7871517217
2023-02-24,947547.6710160763
2023-02-27,949631.4310643678
2023-02-28,942921.441738633
2023-03-01,943069.8708711662
2023-03-02,952936.9117536924
2023-03-03,964122.5582505394
2023-03-06,965291.155699002
2023-03-07,948689.3121099224
2023-03-08,947012.8298713404
2023-03-09,931318.8176559386
2023-03-10,921351.0570049076
2023-03-13,918737.9824285171
2023-03-14,928447.0635845138
2023-03-15,920338.4454913185
2023-03-16,931078.9173786603
2023-03-17,919974.9294623256
2023-03-20,931022.0157849194
2023-03-21,940146.6854285903
2023-03-22,924829.4418433002
2023-03-23,926999.0336316052
2023-03-24,930818.4332741121
2023-03-27,936435.8443271648
2023-03-28,935343.5480247196
2023-03-29,944679.8645279638
2023-03-30,948763.526676189
2023-03-31,960749.5174925311
2023-04-03,970191.2344702072
2023-04-04,964452.0122749539
2023-04-05,966771.7250172114
2023-04-06,966845.939583478
2023-04-10,969768.8430558174
2023-04-11,972606.2531524273
2023-04-12,971500.7042488629
2023-04-13,982564.8779677931
2023-04-14,978429.5024781801
2023-04-17,981337.4051339336
2023-04-18,981032.7644903377
2023-04-19,978733.9175455867
2023-04-20,975546.5259913397
2023-04-21,976191.5611045293
2023-04-24,978109.8610179982
2023-04-25,968160.8231906759
2023-04-26,961549.974600121
2023-04-27,976688.1670851856
2023-04-28,984541.8276904697
2023-05-01,983200.3260929391
2023-05-02,972598.8091381816
2023-05-03,964794.436930251
2023-05-04,956522.1069176999
2023-05-05,972305.6728802379
2023-05-08,970697.7658031911
2023-05-09,969055.3455691874
2023-05-10,968175.2600667885
2023-05-11,961770.5881132176
2023-05-12,961513.8824098394
2023-05-15,962899.2585761813
2023-05-16,953184.3688333109
2023-05-17,964983.0186244724
2023-05-18,968307.5605017897
2023-05-19,965152.2007664177
2023-05-22,961108.4092096442
2023-05-23,954436.655047989
2023-05-24,947056.8172282461
2023-05-25,946038.3971277835
2023-05-26,955528.8949563871
2023-05-30,954069.0786475895
2023-05-31,950185.2206090016
2023-06-01,954611.5893827603
2023-06-02,974857.616309339
2023-06-05,969085.6855666429
2023-06-06,969386.604203116
2023-06-07,972035.4326055043
2023-06-08,976903.2539816453
2023-06-09,978149.7880034973
2023-06-12,983622.717507329
2023-06-13,987832.3075632087
2023-06-14,981110.7010637271
2023-06-15,993489.7583898552
2023-06-16,990344.3240068106
2023-06-20,983263.0362735535
2023-06-21,980307.7626180553
2023-06-22,980168.9204735656
2023-06-23,973837.4479934096
2023-06-26,973470.2099572939
2023-06-27,979592.2349457219
2023-06-28,977453.3215191565
2023-06-29,985242.3545462175
2023-06-30,993476.5621827835
2023-07-03,993790.3386620445
2023-07-05,990041.713548918
2023-07-06,979462.9797892758
2023-07-07,974052.5348898692
2023-07-10,980102.1499215446
2023-07-11,989255.8061055354
2023-07-12,991739.1743731012
2023-07-13,993116.7681609135
2023-07-14,996405.217847949
2023-07-17,998608.8716408323
2023-07-18,1009193.3575933005
2023-07-19,1012348.7173286728
2023-07-20,1017083.1103888663
2023-07-21,1017155.6331337135
2023-07-24,1022455.3201241932
2023-07-25,1023230.0615462075
2023-07-26,1025599.1754739131
2023-07-27,1018744.4790227677
2023-07-28,1023842.7264762382
2023-07-31,1026737.0945606362
2023-08-01,1028791.4169162291
2023-08-02,1018738.7268299417
2023-08-03,1016814.900299836
2023-08-04,1012476.05508751
2023-08-07,1024242.3346955128
2023-08-08,1019661.7845963946
2023-08-09,1014143.1759142376
2023-08-10,1015667.3942250691
2023-08-11,1018706.3566467828
2023-08-14,1019463.7287022241
2023-08-15,1009033.4240751151
2023-08-16,1003817.3130627561
2023-08-17,995417.6452913678
2023-08-18,996163.5129611567
2023-08-21,995096.0864335772
2023-08-22,990047.1273774602
2023-08-23,995364.2965226077
2023-08-24,984578.2582450353
2023-08-25,991723.8351922315
2023-08-28,997876.3129662096
2023-08-29,1006327.4121087493
2023-08-30,1007412.0952148071
2023-08-31,1002551.8306410064
2023-09-01,1005895.4337063159
2023-09-05,1000243.6222844011
2023-09-06,994504.1745129585
2023-09-07,996165.54314686
2023-09-08,998355.8879445769
2023-09-11,1000871.6263953014
2023-09-12,1000359.6812337753
2023-09-13,998325.3223709321
2023-09-14,1007899.2269955147
2023-09-15,999558.434609523
2023-09-18,999733.4817323891
2023-09-19,996656.3969346903
2023-09-20,994437.4039609374
2023-09-21,983740.9194305013
2023-09-22,980663.4962685186
2023-09-25,981906.1954951532
2023-09-26,970703.1796317333
2023-09-27,968722.16953765
2023-09-28,972073.5549814892
