date,A2c
2022-09-15,941132.0533373394
2022-09-16,931960.5629770794
2022-09-19,938216.0810587445
2022-09-20,928842.1312010327
2022-09-21,910403.0661432781
2022-09-22,902965.5741007366
2022-09-23,884741.6529066601
2022-09-26,871038.5382864514
2022-09-27,866009.0949900189
2022-09-28,881876.7789328137
2022-09-29,872204.990528349
2022-09-30,858345.8019373455
2022-10-03,885829.5981657543
2022-10-04,913313.9048464337
2022-10-05,911311.4180872479
2022-10-06,902424.9270937481
2022-10-07,881802.6434290448
2022-10-10,878535.0406954327
2022-10-11,879210.6303732434
2022-10-12,878433.4933264294
2022-10-13,912646.0134775677
2022-10-14,895154.7448008099
2022-10-17,912491.7471010723
2022-10-18,924267.9055216351
2022-10-19,932976.0578081646
2022-10-20,926155.0301115551
2022-10-21,946567.0199472943
2022-10-24,957940.2795736828
2022-10-25,964805.5756933728
2022-10-26,952357.7608740368
2022-10-27,960879.2267763653
2022-10-28,988002.456253294
2022-10-31,984657.1743948498
2022-11-01,979583.3195440808
2022-11-02,964196.6439783612
2022-11-03,961776.4209425488
2022-11-04,979530.2559664288
2022-11-07,991642.4427473583
2022-11-08,999059.2148230114
2022-11-09,979178.9024927655
2022-11-10,1010871.2021162548
2022-11-11,1016517.8528292218
2022-11-14,1011239.6820757427
2022-11-15,1006361.3588755169
2022-11-16,1005237.8330156842
2022-11-17,1006007.684265379
2022-11-18,1009174.3858397045
2022-11-21,1012877.4013464489
2022-11-22,1022811.4994146862
2022-11-23,1024151.2123053112
2022-11-25,1027556.7804548779
2022-11-28,1007071.7191927471
2022-11-29,1013164.6948092022
2022-11-30,1034925.8785288372
2022-12-01,1032714.4261038342
2022-12-02,1034985.3988344708
2022-12-05,1022064.8589499035
2022-12-06,1012264.5173132458
2022-12-07,1011557.8895247021
2022-12-08,1017510.4488585034
2022-12-09,1008514.9950754681
2022-12-12,1026233.2579615155
2022-12-13,1031689.1689226666
2022-12-14,1027341.6959192791
2022-12-15,1006233.435064558
2022-12-16,994260.4855768719
2022-12-19,990982.4928190747
2022-12-20,998434.4942648449
2022-12-21,1012877.4705889263
2022-12-22,996897.7145044842
2022-12-23,1005670.6333773175
2022-12-27,1006314.2921049633
2022-12-28,994155.0648291149
2022-12-29,1006940.135355238
2022-12-30,1003263.3798124829
2023-01-03,1002925.0717451611
2023-01-04,1002763.1778242626
2023-01-05,994231.454042677
2023-01-06,1019205.8234598675
2023-01-09,1011206.516422514
2023-01-10,1019156.7799704113
2023-01-11,1027141.2594225445
2023-01-12,1033873.0269548931
2023-01-13,1039626.7033236065
2023-01-17,1029606.425621275
2023-01-18,1010817.1857970332
2023-01-19,1000432.5004313564
2023-01-20,1019247.9182036495
2023-01-23,1027964.7462256526
2023-01-24,1033298.3493083095
2023-01-25,1031059.3655531978
2023-01-26,1044675.8463042354
2023-01-27,1049501.6909125424
2023-01-30,1037606.9593871211
2023-01-31,1046138.1810534572
2023-02-01,1040184.5053542232
2023-02-02,1042165.994186697
2023-02-03,1041391.8667986965
2023-02-06,1044354.7199805354
2023-02-07,1062790.8040297604
2023-02-08,1053952.0886386014
2023-02-09,1044521.8334029292
2023-02-10,1049802.3508380032
2023-02-13,1062206.5490897275
2023-02-14,1058671.6495917416
2023-02-15,1058258.729633627
2023-02-16,1042834.3364718532
2023-02-17,1043815.4384940242
2023-02-21,1027502.2803328609
2023-02-22,1027547.3208468532
2023-02-23,1030260.837312994
2023-02-24,1019206.3753893947
2023-02-27,1021655.8952830409
2023-02-28,1019873.5775511836
2023-03-01,1022079.5359862422
2023-03-02,1029550.0668204402
2023-03-03,1042150.6212809657
2023-03-06,1042950.8674986934
2023-03-07,1025832.7865126705
2023-03-08,1020423.246397314
2023-03-09,1004716.8934920406
2023-03-10,994640.0610888576
2023-03-13,986538.1326907253
2023-03-14,1000451.9168494319
2023-03-15,986175.8637583827
2023-03-16,1007356.4588568782
2023-03-17,991685.0028956508
2023-03-20,999605.3323691463
2023-03-21,1013006.8026640987
2023-03-22,994986.5793173885
2023-03-23,996012.49572402
2023-03-24,998108.5385611629
2023-03-27,1003945.4980471706
2023-03-28,1003125.234224615
2023-03-29,1019996.4878218746
2023-03-30,1025245.5697978114
2023-03-31,1036128.3741705989
2023-04-03,1041928.73409873
2023-04-04,1031646.21954566
2023-04-05,1029810.5676863765
2023-04-06,1032585.7783759212
2023-04-10,1037606.8933585262
2023-04-11,1037926.3369505977
2023-04-12,1036794.3469775295
2023-04-13,1049544.9901030636
2023-04-14,1038418.845924673
2023-04-17,1045571.2021449184
2023-04-18,1048089.8871443843
2023-04-19,1060326.0562689877
2023-04-20,1050622.0058901883
2023-04-21,1050875.177467642
2023-04-24,1048258.5139849758
2023-04-25,1032419.8569071864
2023-04-26,1040995.1835501766
2023-04-27,1061151.0013125516
2023-04-28,1070377.3621695614
2023-05-01,1067052.266754446
2023-05-02,1053553.5940116025
2023-05-03,1045953.2295172786
2023-05-04,1039626.5740988826
2023-05-05,1056780.3535426236
2023-05-08,1055186.7832301236
2023-05-09,1055092.2163203335
2023-05-10,1052664.9018443204
2023-05-11,1045977.576601324
2023-05-12,1044394.3761103725
2023-05-15,1048818.6143534756
2023-05-16,1040888.9098189449
2023-05-17,1051772.804859457
2023-05-18,1059893.4430449582
2023-05-19,1060191.821436224
2023-05-22,1057818.5512087918
2023-05-23,1047205.6465952968
2023-05-24,1036298.4316561794
2023-05-25,1040999.8404677486
2023-05-26,1050720.6882765866
2023-05-30,1049070.6781657315
2023-05-31,1039126.6753066158
2023-06-01,1052852.2820036984
2023-06-02,1080429.2723582364
2023-06-05,1072545.1624434567
2023-06-06,1073557.9313204861
2023-06-07,1072483.4098094082
2023-06-08,1077260.9546664334
2023-06-09,1079215.838642416
2023-06-12,1086713.2215655423
2023-06-13,1094462.107658682
2023-06-14,1089770.5424655057
2023-06-15,1106386.233917532
2023-06-16,1101708.2283518887
2023-06-20,1087424.0492575741
2023-06-21,1083259.8739989377
2023-06-22,1082653.6222689725
2023-06-23,1074220.8693621731
2023-06-26,1068480.5518515683
2023-06-27,1075212.8892520047
2023-06-28,1074263.62721282
2023-06-29,1082494.4001277066
2023-06-30,1095606.0571997738
2023-07-03,1093012.027548132
2023-07-05,1091602.2823088742
2023-07-06,1082091.4686282254
2023-07-07,1079167.1710169888
2023-07-10,1076945.3061316586
2023-07-11,1091572.453903494
2023-07-12,1093939.333389578
2023-07-13,1094113.367752371
2023-07-14,1088135.9693339444
2023-07-17,1091764.7491896725
2023-07-18,1108942.4275000668
2023-07-19,1105049.3580573178
2023-07-20,1107342.734453497
2023-07-21,1098106.1791556454
2023-07-24,1102297.5394557095
2023-07-25,1104477.4443057156
2023-07-26,1103804.889570532
2023-07-27,1095886.1568091488
2023-07-28,1102428.2870905972
2023-07-31,1106506.4060366726
2023-08-01,1108677.1361430264
2023-08-02,1092251.5017836667
2023-08-03,1087558.9691813565
2023-08-04,1081875.9269679165
2023-08-07,1092736.2084410763
2023-08-08,1084686.3980811215
2023-08-09,1078545.6513655758
2023-08-10,1079628.3283026791
2023-08-11,1081840.54193717
2023-08-14,1083594.5272544003
2023-08-15,1067217.999618826
2023-08-16,1064112.309263525
2023-08-17,1057749.8868105984
2023-08-18,1056859.7033885098
2023-08-21,1058466.0511019803
2023-08-22,1054282.3712237454
2023-08-23,1061704.0694316006
2023-08-24,1049665.3817828274
2023-08-25,1057192.357456503
2023-08-28,1062761.6538260556
2023-08-29,1069833.986543951
2023-08-30,1070797.0256922818
2023-08-31,1067324.707706747
2023-09-01,1072907.0956900693
2023-09-05,1072958.765205679
2023-09-06,1067283.33704978
2023-09-07,1065928.5851233578
2023-09-08,1068957.991934416
2023-09-11,1072863.0586725445
2023-09-12,1072885.7606607648
2023-09-13,1070977.2531763287
2023-09-14,1083784.7871347638
2023-09-15,1071784.9771295758
2023-09-18,1069393.8993860455
2023-09-19,1067685.8008905621
2023-09-20,1059729.0333048077
2023-09-21,1048460.6719614238
2023-09-22,1044394.0652376384
2023-09-25,1043773.1776567668
2023-09-26,1033524.9147211284
2023-09-27,1032501.3739649028
2023-09-28,1033198.1236826152
